Location,Year,1,2,3,4,5,6,7,8,9,10,11,12
SG KELANTAN,1987,10.07354839,9.07,8.936129032,8.751333333,9.012580645,8.978333333,8.743225806,9.203870968,9.510666667,10.02096774,10.13433333,12.33258065
SG KELANTAN,1988,9.614193548,9.302413793,9.179032258,8.871666667,9.466129032,9.335333333,9.58516129,9.652258065,10.06066667,9.41483871,12.14133333,11.8516129
SG KELANTAN,1989,10.62193548,9.318214286,9.033870968,9.052333333,9.096129032,9.267666667,9.168387097,8.926451613,9.308333333,9.877096774,9.831333333,9.531935484
SG KELANTAN,1990,10.24741935,9.388214286,8.660322581,8.644666667,8.931935484,8.745333333,8.79516129,8.951290323,9.207333333,9.823870968,9.971666667,11.67064516
SG KELANTAN,1991,9.954516129,9.2325,8.849032258,9.186666667,9.492903226,9.048666667,8.65483871,8.806129032,8.958666667,9.233225806,10.31133333,11.32354839
SG KELANTAN,1992,10.57903226,9.19,8.903548387,8.614333333,8.508387097,8.952333333,8.948064516,8.638387097,8.648333333,9.181612903,11.21966667,11.43741935
SG KELANTAN,1993,9.932903226,9.132857143,9.3,9.123666667,9.180645161,9.473,9.224193548,9.078709677,9.603333333,10.74290323,11.48166667,12.97225806
SG KELANTAN,1994,10.25451613,9.666071429,9.637419355,9.251,9.84483871,9.740333333,9.259677419,9.536451613,10.082,10.17677419,13.58133333,11.20129032
SG KELANTAN,1995,10.49806452,9.522142857,9.049032258,8.882666667,8.987419355,9.493333333,9.149032258,9.728709677,9.56,9.675483871,9.55,10.51677419
SG KELANTAN,1996,9.902258065,9.927931034,8.849354839,8.952666667,9.287741935,9.335666667,9.486129032,9.212258065,9.827666667,10.3316129,9.951666667,11.92612903
SG KELANTAN,1997,9.725806452,9.096785714,8.767741935,8.947666667,8.841935484,8.793,8.914516129,8.702258065,9.086666667,9.090322581,9.831666667,10.7
SG KELANTAN,1998,9.481290323,9.098928571,8.618064516,8.366666667,8.384516129,8.733666667,9.186129032,9.184516129,9.381,9.511935484,9.949333333,10.64903226
SG KELANTAN,1999,12.12967742,10.50571429,9.806774194,10.00533333,9.890322581,9.580333333,9.325483871,9.499677419,9.729333333,9.799354839,9.716666667,10.96322581
SG KELANTAN,2000,12.41419355,10.00241379,9.903548387,10.05866667,9.810967742,9.478333333,9.023225806,9.387419355,9.294333333,9.342258065,10.51566667,9.99
SG KELANTAN,2001,10.72612903,9.518214286,9.39516129,9.053,9.150322581,9.058333333,8.712258065,9.137741935,9.184666667,9.875483871,10.631,11.63193548
